The accuracy of tagger.py is: 82.39%.

Predicted Tag  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX    IN    JJ  JJR  JJS  LS   MD    NN   NNP  NNPS   NNS  PDT  POS   PRP  PRP$    RB  RBR  RBS  RP    TO   VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
Actual Tag                                                                                                                                                                                                                               
VB             0    0    0   0   0     0     0    0     0     0     0   0     0    17    2    0   0   16   454     0     0     0    0    0     0     1     4    0    0   0   191  553    11    0   17  323     0    0    0    0    0    0
VBD            0    0    0   0   1     1     0    0     0     0     0   0     0     3    0    2   0    0   144     0     0     0    0    0     0     0     0    0    0   0     0    2  1535    0  147    1     0    0    1    0    0    0
VBG            0    0    0   0   0     0     0    0     0     0     2   0     0     4    0    0   0    0   273     0     0     0    0    0     0     0     0    0    0   0     0    0     0  538    0    0     0    0    0    1    0    0
VBN            0    0    0   0   0     0     0    0     0     0     1   0     0    11    0    0   0    1   202     0     0     0    0    0     0     0     1    0    0   0     0    5   140    0  739    0     0    0    0    0    0    0
VBP            0    0    0   0   0     0     0    0     0     1     1   0    12     4    0    0   0    0    79     1     0     0    0    0     0     0     0    0    0   0     0   64     0    0    7  632     0    0    1    0    0    0
VBZ            0    0    0   0   0     0     0    0     0     0     0   0     1     0    2    0   0    0   100     0     0    27    0    5     0     0     0    0    0   0     0    0     0    0    0    0  1101    0    0    0    0    0
WDT            0    0    0   0   0     0     0    0     0     0     0   0   133     0    0    0   0    0     2     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0  144    1    0    0    0
WP             0    0    0   1   0     0     0    0     0     0     0   0     2     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0  108    0    0    0
WP$            0    0    0   0   0     0     0    0     1     0     0   0     0     0    0    0   0    0     0     1     0     1    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0   18    0    0
WRB            0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0   0    0     2     2     0     0    0    0     0     0     1    0    0   0     0    0     0    1    0    0     0    0    0    0  127    0
``             0    0    0   0   0     0     0    0     0     0    10   0     0     0    1    1   0    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    2  521
